,질문,답변
23,"질문
외환 우리나라의 현행 환율제도","답변
우리나라의 현행 환율제도는 변동환율제도(floating)입니다. 과거에는 은행 간 외환시장의 거래환율을 당일 기준환율의 일정폭 이내에서만 움직이도록 변동폭을 제한하기도 하였으나, 1997년 12월 16일부터는 동 제한폭을 폐지하여 원화 환율은 외환시장에서 외환 수급에 따라 자유로이 결정되고 있습니다."
24,"질문
외환 실질실효환율지수","답변
우리가 흔히 이야기하는 원/달러 환율, 원/엔 환율 등을 명목환율(nominal exchange rate)이라 합니다. 이는 원화와 각 상대국 통화 간의 교환비율로서 두 통화 간 비교만 가능할 뿐 주요 교역상대국 전체의 환율변동 대비 원화가치의 변동을 파악하지는 못합니다. 이러한 점을 감안해 지표 작성 시 선정한 주요 교역상대국 통화 각각에 대한 원화가치의 변동을 무역비중과 같은 적절한 가중치로 가중평균하여 종합·산출한 지표가 명목실효환율(nominal effective exchange rate)입니다.
  한편 일국 통화의 대외가치는 명목환율의 변동뿐만 아니라 국가 간 물가상승률의 차이에 의해서도 변화하게 되는데 이를 감안해 산출한 환율이 실질환율(real exchange rate)입니다. 앞서 설명한 명목실효환율과 실질환율의 개념을 통합하여 작성한 것이 실질실효환율(real effective exchange rate)입니다. 즉, 실질실효환율은 명목실효환율에 자국과 주요 교역상대국 간의 물가상승률 차이를 감안해 계산됩니다.
  한편, 실질(명목)실효환율은 수준이 다른 주요 교역상대국의 통화를 대상으로 하나의 수치로 표현되고 기준 년 대비 특정시점의 수치를 계산해 단위가 표준화되는 효과가 있는 지수 형태로 작성됨에 따라 통산 ‘실질(명목)실효환율지수’라고 불립니다.
  실질실효환율지수가 100 이상이면 기준시점 대비 주요 교역상대국 통화에 대한 원화의 고평가, 100 이하이면 원화의 저평가를 나타냅니다."
25,"질문
기업금융 무역금융제도","답변
통상적으로 기업들은 수출품을 생산하여 배에 선적한 이후에야 수출대금을 지급받을 수 있기 때문에 수출품을 생산·가공하는 과정에서 자금수요가 큽니다.
  이러한 기업의 자금수요를 완화하고 수출을 촉진하기 위해 은행은 이에 필요한 자금을 지원하고 있습니다. 이를 무역금융제도라고 합니다.

무역금융은 자금의 용도에 따라 생산자금, 원자재자금 및 완제품구매자금으로 구분하여 지원하고 있으며 전년도 또는 과거 1년간 수출실적이 2억달러미만인 업체들에 대하여는 자금용도의 구분없이 소요자금 전액을 일괄하여 포괄금융으로 지원할 수 있습니다.

한국은행은 금융중개지원대출을 배정할 때 은행들이 취급한 무역금융 실적을 감안함으로써 무역금융이 활발히 이루어질 수 있도록 유도하고 있습니다."
26,"질문
기업금융 무역금융의 융자방법","답변
무역금융은 용도별금융을 이용하는 경우 자금용도별로 융자방법을 선택할 수 있으므로 외국환은행(지점 기준)을 달리한다면 생산자금은 신용장기준으로 원자재자금은 실적기준으로 융자받을 수 있습니다.(「한국은행 금융중개지원대출관련 무역금융지원 프로그램 운용세칙」제6조, 제7조)"
27,"질문
기업금융 보세판매장 업체의 무역금융 이용가능성","답변
보세판매장에서 자가생산품을 외국인에게 외화로 판매한 실적이 있는 업체는 동 외화판매실적을 근거로 무역금융을 이용할 수 있습니다.(「한국은행 금융중개지원대출관련 무역금융지원 프로그램 운용절차」제6조 제2호)"
28,"질문
기업금융 환어음 발행 전 기업구매자금대출 실행","답변
「금융기관 기업구매자금대출 취급세칙」제4조는 환어음 또는 판매대금추심의뢰서가 도달한 날로부터 7일이내에 기업구매자금을 융자하도록 규정하여 납품업체가 물품을 납품한 후 동 납품대금을 회수하기 위하여 발행한 환어음을 결제할 때 또는 전자적 형태의 판매대금추심의뢰서에 의한 판매대금 추심시 구매기업에 자금을 융자하는 것을 전제하고 있습니다. 따라서 환어음 발행전에 기업구매자금대출을 실행하였다면 「금융기관 기업구매자금대출 취급세칙」이 정한 기업구매자금대출에 해당하지 않습니다."
29,"질문
외환 전세계 외환시장의 거래규모","답변
세계 외환거래규모와 관련하여 보통 이용하는 통계는 국제결제은행(BIS)의 「세계 외환 및 장외파생상품 시장 거래규모」 조사 결과 자료인데 동 조사는 3년 주기로 실시되고 있습니다. 2017년 1월말 현재 최신 통계는 2016년 4월 기준 BIS 회원국들에 대한 조사 결과로서, 이에 따르면 2016년 4월중 BIS 회원국들의 일평균 외환거래규모(거래금액 기준)는 5조 880억달러(현물환 1조 654억달러, 선물환 7,000억달러, 외환스왑 2조 3,830억달러 등)입니다. 국가별(거주성 기준) 거래 비중은 영국 37.1%, 미국 19.4%, 싱가포르 7.9%, 홍콩 6.7%, 일본 6.1% 등 순이며, 우리나라는 0.7% 정도입니다. 외환거래규모와 관련하여 보다 자세한 자료가 필요한 경우에는 BIS 홈페이지(www.bis.org) 및 한국은행 보도자료 (2016년도 BIS 주관「세계 외환 및 장외파생상품 시장 조사(거래금액 부문)」결과, 2016.9.2)를 참고하시기 바랍니다.
  한편, 외환거래규모를 거래동기별로, 즉 위험회피 목적인지 아니면 투기 목적인지 구분한 통계는 공식적으로 발표되고 있지 않습니다. 
  <세계 외환시장 거래규모(2016년 4월중)>
세계 외환시장 거래규모(2016년 4월중)
외환상품별
일평균 거래규모
(십억달러)
국가별
거래비중(%)
현물환
1,654
영국
37.1
선물환
700
미국
19.4
외환스왑
2,383
싱가포르
7.9
통화스왑
96
홍콩
6.7
통화옵션 및 기타
254
일본
6.1
합계
5,088
한국
0.7
 "
30,"질문
발권출납 우리나라의 기념주화 발행사례","답변
역대 우리나라 기념주화 발행현황
역대 우리나라 기념주화 발행현황
기념주화명 종수(종류) 발행일 발행량(천장)
대한민국 반만년 역사  12 1971-03-02 31
광복 30주년 1 1975-08-14 5,000
제42회 세계사격선수권대회 2 1978-06-12 1,097
대한민국 제5공화국 3 1981-08-14 6,998
제24회 올림픽대회 유치 1차 3 1982-09-30 2,499
제24회 올림픽대회 유치 2차 3 1983-08-01 1,029
천주교 전래 200주년 2 1984-05-01 715
제10회 아시아경기대회 5 1986-03-21 1,726
제24회 서울올림픽대회(1~5차) 32 1987~88년중
5회에 걸쳐 발행 7,962
대전세계박람회 6 1993-06-09 980
광복 50주년 2 1995-08-14 128
유엔창설 50주년 1 1995-08-14 69
정부수립 50주년 1 1998-08-14 103
새천년 1 2000-01-04 555
한국은행 창립 50주년 1 2000-06-12 70
ASEM 2000 1 2000-10-18 26
2002 FIFA 월드컵 축구대회(1~2차) 14 2001-05-25
2002-04-30 450
제14회 아시아경기대회 부산 2002 6 2002-09-25 90
광복 60년 1 2005-08-12 92
2005년 APEC 정상회의 1 2005-11-14 60
한글날 국경일 제정 1 2006-10-09 51
전통민속놀이(탈춤) 1 2007-08-01 51
대한민국 건국 60년 1 2008-08-08 51
전통민속놀이(강강술래) 1 2008-10-17 51
전통민속놀이(영산줄다리기) 1 2009-10-16 51
유네스코 세계유산(종묘) 1 2010-10-01 51
서울 G20 정상회의 1 2010-11-01 51
2011 대구세계육상선수권대회 1 2011-08-11 33
유네스코 세계유산(제주 화산섬과 용암동굴) 1 2011-10-14 31
서울 핵안보정상회의 1 2012-03-15 22
여수 세계박람회 6 2012-05-04 68
2012 세계자연보전총회 1 2012-08-28 22
유네스코 세계유산(석굴암과 불국사) 1 2012-11-30 30
숭례문 복구 1 2013-04-30 31
나로호 발사 성공 1 2013-10-31 27
한국의 문화유산(창덕궁, 수원화성, 한글) 3 2013-12-27 30
제17회 인천아시아경기대회 6 2014-08-29 20
교황 방한 2 2014-09-30 93
한국의 문화유산(역사마을 : 하회와 양동, 해인사 장경판전, 남한산성) 3 2014-12-12 58
제7차 세계물포럼 1 2015-03-25 11
광복 70년 3 2015-09-16 17
2015 경북문경 세계군인체육대회 1 2015-09-16 17
한국의 문화유산(경주역사유적지구, 백제역사유적지구) 2 2015-12-07 31
한국의 문화유산(고창·화순·강화 고인돌 유적, 조선왕릉) 2 2016-08-02 27
2018평창동계올림픽대회(1차분) 11 2016-11-18 178
한국의 국립공원(지리산, 북한산) 2 2017-09-28 22
2018평창동계올림픽대회(2차분) 및 2018평창동계패럴림픽대회 12 2017-11-01
2017-12-19 204
한국의 국립공원(덕유산, 무등산, 한려해상)
3
2018-10-04
32
3·1운동 및 대한민국임시정부 수립 100주년
5
2019-01-02
2019-04-11
98
2019광주FINA세계수영선수권대회
1
2019-07-03
11
제100회 전국체육대회
1
2019-09-26
10
한국의 국립공원(속리산, 내장산, 경주)
3
2019-11-14
32
한국의 국립공원(월악산, 계룡산, 한라산, 태안해안)
4
2020-09-24
30
한국의 국립공원(소백산, 태백산, 다도해해상, 주왕산)
4
2021-04-26
30
한국의 국립공원(가야산, 변산반도, 오대산)
3
2022-02-22
22.5
2023 새만금 「제25회 세계스카우트잼버리」
2
2022-10-06
15.0
누리호 발사 성공
2
2022-12-20
15.0
한국의 국립공원(설악산, 치악산, 월출산)
3
2023-04-04
31.5
2023 순천만 국제정원박람회
2
2023-06-27
15.0
한국 명산의 사계
4
2023-12-08
42.0"
31,"질문
발권출납 손상화폐와 사용화폐의 구분 기준","답변
한국은행이 시중에 유통되기에 적합한 것으로 인정한 화폐(은행권, 주화)는 사용화폐로, 여러 가지 이유로 화폐가 훼손됨으로써 유통에 부적합한 것으로 인정한 화폐는 손상화폐로 구분되는데 일반적으로 손상화폐는 다음과 같은 경우를 말합니다.
은행권
조각난 은행권을 모아 붙인 은행권이나 은행권면의 일부가 떨어져 나간 은행권
은행권면에 낙서, 그림이 그려져 있거나 물감, 잉크 등이 묻은 은행권, 악취를 풍기는 은행권 또는 그밖에 오염·오손된 은행권
변색되거나 탈색된 은행권 또는 축소되거나 확대된 은행권
각종 테이프나 철침 또는 종이 등 이물질이 덧붙은 은행권이나 구멍이 뚫린 은행권
발행이 중지된 은행권
그밖에 통용에 부적합한 은행권
주 화
변형되거나 찌그러진 주화
녹슨 주화
심하게 긁힌 주화
환수된 기념주화 및 발행이 중지된 주화
그밖에 통용에 부적합한 주화"
32,"질문
발권출납 은행권 묶음방법","답변
1. 작은묶음 띠지 상 표시내용
작은묶음(은행권 100장)을 묶은 띠지의 한쪽 측면에는 입금기관명(은행명 및 점포명)과 정사일자(금융기관 정사일자. 다만, 은행권 자동정사기로 정사한 은행권으로서 입금기관이 필요로 하여 한국은행 앞 요청하는 경우 생략 가능)를, 다른 쪽 측면에는 정사자인을 표시하여야 합니다.
2. 작은묶음 및 큰 묶음 결속방법
작은묶음과 큰묶음(작은묶음 10개)을 기준으로 사용권과 손상권 및 미정리권을 묶는 방법은 다음과 같습니다.
<사용권 및 미정리권>
작은묶음 : 은행권의 앞면(초상화가 있는 면)이 위로 향하도록 정리하여 그 왼쪽 끝에서 가로길이의 1/3 되는 곳에 띠지의 중앙선이 위치하도록 세로로 묶는다.
큰묶음 : 순차적으로 작은묶음 5개는 앞면이 위로 향하고 나머지 5개는 앞면이 아래로 향하도록 작은묶음 띠지 방향이 엇갈리게 정리한 후 큰묶음용 띠지(노끈, PP밴드, PE필름 등)의 중앙선이 은행권면의 가로와 세로의 중앙에서 ＋자형이 되도록 묶는다.
<손상권>
작은묶음 : 은행권면의 중앙에 띠지의 중앙선이 위치하도록 세로로 묶는다. 다만, 큰묶음단위에 미달하는 작은묶음의 경우에는 띠지의 중앙선이 은행권면의 가로와 세로의 중앙에서 +자형이 되도록 묶는다.
큰묶음 : 작은묶음의 띠지가 엇갈리지 않도록 정리한 후 큰묶음용 띠지의 중앙선이 은행권면의 가로와 세로의 중앙에서 ＋자형이 되도록 묶는다."
33,"질문
발권출납 주화자루 포장방법","답변
1. 주화자루 표시내용
    주화는 수납단위 자루별로 입금 기관명, 정사자인 및 정사일자를 표시한 띠지로 봉인하고, 그 자루면에는 입금 기관명, 화종 및 금액, 사용주화 또는 손상주화 구분내용을 표시하여야 합니다.

2. 자루포장 방법 

주화는 작은자루에 넣어 봉인한 후 다음과 같은 기준에 따라 작은자루를 다시 큰자루에 넣어 봉인하여야 합니다. 

   <화종별 큰자루 당 넣어야 하는 작은자루 수> 
       ▷ 500원화 : 4자루  ▷100원화 : 5자루
   ▷ 50원화 : 5자루    ▷ 10원화 : 10자루(구10원화의 경우 5자루)
   ▷  5원화 : 8자루    ▷  1원화 : 10자루"
34,"질문
발권출납 화폐의 순환과정","답변
한국은행은 대한민국내의 유일한 발권기관으로서 은행권 및 주화 종류별로 민간의 화폐수요, 수명이 다한 화폐의 폐기액 및 한국은행의 적정한 화폐 보유액 등을 감안하여 매년 화폐의 제조규모를 결정하고 이를 한국조폐공사에 제조를 주문하게 됩니다.
  한국조폐공사에서 제조한 화폐는 한국은행 본부 및 각 지역본부로 납품되며, 한국은행은 이를 보관하고 있다가 시중의 화폐수요를 반영한 금융기관 등의 지급요청에 따라 창구를 통해 화폐를 공급하는데 이를 화폐의 발행이라 합니다. 발행된 화폐는 금융기관을 통해 시중에 공급되어 유통되다가 예금 또는 세금납부 등의 형태로 다시 금융기관에 입금되고, 각 금융기관은 이를 고객의 예금인출에 대비하여 최소의 자금만을 보유하고 나머지는 한국은행에 입금시키는데 이를 화폐의 환수라고 합니다.
  한국은행에 환수된 화폐는 정리과정을 거쳐 다시 사용할 수 있는 화폐와 사용할 수 없는 손상화폐로 구분되는데, 사용할 수 있는 화폐는 금융기관에 다시 발행되지만 손상화폐는 세편처리, 분쇄, 용해 등의 방법으로 화폐의 형태를 없앰으로써 화폐로서의 수명을 다하게됩니다."
35,"질문
국고증권 납부자가 수입금 전자납부시 잘못 납부한 경우","답변
수입금 전자납부는 기본적으로 납부자가 금융기관을 방문하지 않고 인터넷뱅킹 등 각종 전자매체를 통하여 수입금을 납부하는 형태이므로 해당 국고대리점은 이 과정에 직접적으로 개입되지는 않으나, 국고금 납부자금이 출금되는 예금계좌 개설점의 국고금 수납으로 취급되는 것이 일반적입니다.(예금계좌 개설점이 국고대리점이 아닌 경우 다른 국고대리점이 수납점이 되어야 함)
  납부자가 수입금 전자납부 시 납부자번호 등을 잘못 입력하였거나 수입금을 이중으로 납부하는 등의 사유로 취급점이 이에 대한 정정요청을 받은 경우 다음과 같이 안내하고 있습니다.
  1. 납부자번호 등을 잘못 입력한 경우에는 납부자가 직접* 해당 수입징수관서에 연락하여 이를 정정하도록 안내
2. 수입금을 이중납부한 경우에도 납부자가 직접* 해당 수입징수관서에 연락하여 환급을 받도록 안내 
   * 납부자가 전자납부과정에서 일으킨 납부 오류는 납부자의 실수에 의해 발생한 것이므로 해당 국고대리점(예금계좌 개설점)은 이를 정정하거나 반환할 수 없음"
36,"질문
국고증권 국고대리점이 직접 정정처리 할 수 있는지 여부","답변
국고대리점(또는 우체국)에서는 수입금 정정처리를 할 수 없습니다.
   ※ 수입징수관계좌는 한국은행 통할점에 개설되어 있고 국고대리점 업무착오에 대한 정정은 원래 취급일자에 정당 처리된 것과 같은 효력을 부여하고 있어 국고대리점에 정정권한을 부여할 경우 수입징수관 수입내역에 대한 관리가 불가능함에 따라 정정업무는 통할점에서만 담당"
37,"질문
국고증권 금융기관 착오시 국고예금 정정절차","답변
금융기관의 착오에 의한 정정(당일 마감 전에 거래관서 출납공무원으로부터 당일 거래에 대한 정정 또는 취소요청을 받은 경우 포함)은 각 금융기관의 예금거래 오류 정정방법에 따라 처리*해야 합니다.

* 취소 후 재입력하며, 필요 시 기산일 거래 등의 조치 가능"
38,"질문
국고증권 국고예금계좌 개설절차","답변
출납공무원으로부터 국고예금계좌 개설 요청을 받은 금융기관은 일반적인 예금계좌 신규 개설절차에 따라 계좌를 개설하되 매일의 국고예금 계좌의 신설내역을 다음 영업일에 한국은행 앞으로 전송해야 합니다.
< 국고예금계좌 개설관련 세부업무처리절차 >
 - 국고예금 거래신청서(각 금융기관의 서식 사용) 접수
예금주 : 관서명(출납공무원의 성명 등록 불필요)
실명번호 : 관서의 고유번호(「부가가치세법시행령」제12조 제2항)
실명번호 확인 : 고유번호증 사본
인감 : 출납공무원 직인(필요한 경우 사인 추가 날인)
비밀번호 : 출납공무원 등이 임의로 부여
계좌번호 : 16자리 이내에서 각 금융기관이 자율적으로 부여
통장 필수 기록사항 : 성명(관서명), 계좌번호, 계좌관리점포(점포명, 지로코드, 전화번호), 신규개설일, 통장발행일
통장 전면 또는 인자란 등 적절한 위치에 ‘국고예금’ 통장임과 한국은행 앞 계좌신설 통보가 필요함을 안내하는 문구 인쇄

이 통장은 국고예금계좌이며, 각 관서는 통장개설내용(신규, 변경, 폐지)을 정해진 양식에 의거
한국은행 앞으로 통보하여야 합니다.
  ※ 관서운영경비(또는 선사용자금) 출납공무원은 상기와 같이 금융기관에 국고예금계좌를 개설한 후, 동 계좌개설 사실을 한국은행의 담당 통할점에 서면(「국고예금계좌 (신설·변동·폐지)통보서」및 통장사본)으로 통보하여 동 출납공무원의 국고예금계좌 등록을 요청"
39,"질문
국고증권 수입인지 판매에 관한 계약 체결 절차","답변
한국은행은 수입인지 판매인이 되려고 하는 신청인의 관련 서류를 금융기관으로부터 접수하면 신청인이 최근 1년간 수입인지 판매에 관한 계약을 위반하여 계약해지를 당한 사실이 있는지 여부 등을 확인한 후 계약을 체결합니다.

「수입인지에 관한 법률」 등에서 정하고 있는 수입인지 판매인이 되고자 하는 자는 판매소 예정지 근처의 금융기관에 수입인지 판매계약 체결을 위한 서류를 제출합니다. 판매계약 신청을 접수한 금융기관은 제출된 서류들을 검토하여 <수입인지 판매계약 신청내용 확인표>를 작성한 후 계약 체결 신청서류와 함께 관할 한국은행 통할점(본부 및 각 지역본부)에 제출하게 됩니다.

수입인지 판매계약 체결을 위해 신청인이 구비해야 할 서류는 아래의 4가지입니다.
 ① 수입인지 판매에 관한 계약체결 신청서 1부
 ② 수입인지 판매계약서 2부
 ③ 신청인 주민등록증 사본 1부
 ④ 판매소의 소유 또는 임차근거 서류 1부

한국은행은 금융기관이 작성한 <수입인지 판매계약 신청내용 확인표> 및 신청인이 제출한 서류를 종합적으로 검토하여 계약을 체결하게 됩니다.

계약이 체결되면 판매인이 된 신청인과 금융기관 앞으로 동 내용을 우편으로 통보하며 판매인은 인감신고서를 금융기관(할인판매금융기관)에 제출하고 수입인지를 공급받아 판매업무를 시작할 수 있습니다.

- <수입인지 판매계약 신청내용 확인표>의 확인사항
1. 최근 1년 내 수입인지 판매에 관한 계약을 위반하여 계약해지를 당한 사실이 있는지 여부
2. 일반 공중에게 판매하는 것을 목적으로 하는지 여부
3. 판매소 설치장소가 일반인이 쉽게 발견할 수 있고 접근이 용이한지 여부
4. 판매소 설치장소의 주변 환경
5. 판매소 설치장소의 신청인 소유 형태

체결과 관련된 모든 서류서식은 당행 홈페이지(http://www.bok.or.kr) 내 ‘금융시스템-국고·증권제도–증권업무자료’의 게시글 ‘「수입인지 사무취급절차」개정 및 관련서식’에 수록된 ‘수입인지 사무취급절차 별지서식’에서 찾으실 수 있습니다.
  참고로 전자수입인지를 판매하고자 하신다면 동 업무를 담당하고 있는 금융결제원으로 문의하시기 바랍니다."
40,"질문
국고증권 한국은행의 국고 업무","답변
한국은행은 중앙은행으로서 '정부의 은행' 역할을 수행하고 있습니다. 즉, 한국은행은 세금 등 정부수입을 정부예금으로 받아 두었다가 정부가 재정활동을 위해 필요로 할 때 자금을 내주는 업무를 하는 한편, 국고금 수입 및 지출과 관련한 회계처리를 하고 있습니다. 또한 정부가 자금이 일시적으로 부족할 때 돈을 빌려주기도 하는 정부의 은행입니다.
  국고금 수납업무는 전 국민을 대상으로 하는 업무이기 때문에 조직과 인력이 제한된 한국은행 본부 및 지역본부만이 그 일을 수행할 경우 국민에게 큰 불편을 줄 수 있습니다. 이에 따라 한국은행은 전국에 소재하고 있는 각 금융기관의 영업점을 국고대리점(국고수납대리점 및 국고금수납점)으로 지정하여 동 대리점으로 하여금 국고금 수납업무를 대행하도록 하고 있습니다."
41,"질문
국고증권 국고금의 집중경로","답변
한국은행은 국민의 국고금 납부 편의를 위해 각 금융기관의 영업점을 국고대리점으로 지정하여 한국은행을 대신하여 국고금을 받을 수 있도록 하고 있습니다.
  이렇게 국고대리점에서 수납받은 국고금의 수납내역은 해당 금융기관 본점으로 집중되어 한국은행과 금융기관의 전산시스템을 연결한 한국은행 국고전산망을 통하여 한국은행으로 전달되며, 한국은행은 동 수납내역을 바탕으로 수납자금(국고금)을 한국은행에 설치된 금융기관 당좌예금 계좌에서 인출하여 정부의 당좌예금 계좌에 입금 처리합니다."
42,"질문
국고증권 소멸시효가 지난 국채의 원리금 상환 가능 여부(건국국채 등)","답변
건국국채는 만기상환일로부터 원금은 5년, 이자의 경우에는 2년이 지나면 권리가 소멸됩니다. 따라서 건국국채의 경우에는 국채의 소멸시효가 이미 만료되었으므로 상환받을 수 없습니다."
43,"질문
국고증권 개인의 통화안정증권 매입방법","답변
통화안정증권은 공개시장조작 대상기관을 상대로 한 경쟁입찰방식과 모집방식으로 발행되고 있습니다. 경쟁입찰과 모집에 의한 발행은 한국은행과 약정을 맺은 금융기관과의 거래로 한정되므로 개인은 증권회사 창구에서 해당 기관이 보유한 통화안정증권을 매입하실 수 있습니다.
  일반적인 통화안정증권 발행조건은 아래와 같으며 현재는 “등록발행”의 방법으로만 발행되고 있음을 참고하시기 바랍니다.
  ㆍ발행방법 : 증권 현물발행 또는 통지서 교부에 의한 등록발행
ㆍ증권기간
   - 할인채 : 14일, 28일, 63일, 91일, 140일, 182일, 364일, 371일, 392일, 546일 만기
   - 이표채 : 1년, 1.5년, 2년 만기
ㆍ매출단위 : 최저 1백만원(액면기준), 그 이상은 1백만원 단위로 매출
ㆍ원리금 지급방법
   o 할인채 : 만기 일시상환
   o 이표채 : 이자는 매 3개월 단위로 지급하며, 원금은 만기일에 상환
  통화안정증권에 대한 설명은 당행 홈페이지(http://www.bok.or.kr) 내 ‘금융시스템 - 국고·증권제도 – 증권업무자료 - 한국은행의 증권업무 해설(통화안정증권업무)’을 참고하시기 바랍니다."
44,"질문
국고증권 개인의 국채 매입방법","답변
1999. 7월부터 ‘국고채전문딜러’제도가 시행됨에 따라 그 이전에는 국채를 발행시장에서는 구입할 수 없었던 개인도 ‘국고채전문딜러’를 통하여 국채발행시장에서 국채를 매입할 수 있습니다. 구체적 절차는 ""국고채전문딜러""에게 직접 문의바랍니다.
  1. 현재 발행시장 매입가능 국채 : 국고채권
2. 발행방식 : 경쟁입찰을 통한 등록발행(현물없음)
3. 참가방식
- 입찰공고일부터 입찰전일까지 ""국고채전문딜러""에 매입희망금액을 기재한 응찰서를 제출하고 입찰보증금 납부
- 입찰보증금 : 매입희망금액의 100%
- 응찰금액 : 최저 10만원, 최고금액은 10억원으로 하고 10만원 초과하는 금액에 대하여는 10만원 단위로 증액
- 개인이 낙찰받은 국채는 대행 ""국채전문딜러""의 명의로 배정하고, ""국채전문딜러""는 이를 개인의 고객계좌에 기재함으로써 배정완료
4. 배정금리 : 개인이 배정받은 국채에 적용하는 금리는 경쟁입찰방식에 의해 결정된 최고낙찰금리로 함
5. 국채전문딜러(2018. 2월 현재) : 국민은행 · 중소기업은행 · 농협은행 · 산업은행 · KEB하나은행 · 한국스탠다드차타드은행 · 크레디아그리콜은행 · 교보증권 · 대신증권 · DB금융투자 · 미래에셋대우 · 삼성증권 · 신한금융투자 · 한국투자증권 · KB증권 · NH투자증권 · 메리츠 증권(이상 17개 기관)
  국채에 대한 설명은 당행 홈페이지(http://www.bok.or.kr) 내 ‘금융시스템 - 국고·증권제도 – 증권업무자료 - 한국은행의 증권업무 해설(국채 업무)’을 참고하시기 바랍니다."
45,"질문
국고증권 정정신청 방법에 따른 통할점 분류","답변
국고대리점 담당 통할점에 신청하면 됩니다.

 ※ 세무서간 계좌번호 정정은 오(誤)수입징수관서에 연락하여 처리할 수도 있음"
